item    game 0               game 1               game 2               game 3               game 4               game 5             
1       b_hat_blue           g_snowflake_green    o_icicle             i_glove_blue         i_scarf_rainbow      i_hotchoc_red      
2       g_snowflake_green    i_glove_blue         b_hat_blue           n_boot_red           b_hat_blue           n_snow_angel       
3       g_snowman_hat        b_owl_blue           n_hat_pink           g_hat_green          o_ski_rabbit         b_scarf_purple     
4       o_cookie_plate       g_snowman_hat        i_scarf_rainbow      g_snowman_hat        o_owl_redhat         i_hat_purple       
5       n_owl_white          n_sled_penguins      b_cookie_star        g_cookie_pink        i_owl_orange         b_hat_blue         
6       i_glove_blue         o_ski_rabbit         i_ice_skater         b_owl_blue           n_snow_angel         i_snowy_tree       
7       i_ice_skater         i_hotchoc_red        g_boot_yellow        i_ice_skater         o_glove_black        g_cookie_pink      
8       i_hotchoc_red        n_snow_angel         n_glove_red          b_cookie_star        n_sled_penguins      b_owl_greenantler  
9       b_scarf_purple       i_scarf_rainbow      g_hat_green          g_icefish_penguin    n_owl_white          b_hotchoc_pink     
10      n_sled_penguins      i_snowy_tree         n_sled_penguins      i_owl_orange         o_hotchoc_green      i_glove_blue       
11      b_hotchoc_pink       n_cookie_ginger      i_owl_orange         n_owl_white          g_icefish_penguin    g_boot_yellow      
12      b_owl_greenantler    i_ice_skater         b_snowboard_penguin  o_glove_black        o_cookie_plate       g_hat_green        
13      o_icicle             o_icicle             g_snowflake_green    n_cookie_ginger      b_scarf_purple       i_owl_orange       
14      g_cookie_pink        b_snowboard_penguin  n_boot_red           o_ski_rabbit         n_cookie_ginger      o_icicle           
15      n_glove_red          o_hat_red            b_hotchoc_pink       i_scarf_rainbow      g_snowman_hat        n_boot_red         
16      g_hat_green          g_icefish_penguin    g_cookie_pink        i_hotchoc_red        g_cookie_pink        b_snowboard_penguin
17      i_snowy_tree         b_hat_blue           g_glove_red          i_hat_purple         b_cookie_star        n_glove_red        
18      o_hotchoc_green      n_hat_pink           o_hat_red            o_hotchoc_green      g_glove_red          i_ice_skater       
19      b_snowflake_red      g_owl_purple         n_cookie_ginger      o_owl_redhat         i_hotchoc_red        b_snowflake_red    
20      n_boot_red           o_owl_redhat         b_owl_greenantler    b_scarf_purple       i_ice_skater         o_hotchoc_green    
21      g_glove_red          o_penguin_hat        o_penguin_hat        b_snowflake_red      n_glove_red          o_ski_rabbit       
22      g_icefish_penguin    i_hat_purple         b_snowflake_red      o_penguin_hat        o_penguin_hat        i_scarf_rainbow    
23      i_owl_orange         o_hotchoc_green      n_owl_white          i_boot_purple        b_snowflake_red      n_hat_pink         
24      g_owl_purple         i_owl_orange         o_hotchoc_green      g_glove_red          g_owl_purple         g_icefish_penguin  
25      i_hat_purple         g_glove_red          i_hat_purple         b_snowboard_penguin  g_snowflake_green    n_cookie_ginger    
26      o_hat_red            b_snowflake_red      i_glove_blue         o_cookie_plate       b_snowboard_penguin  o_hat_red          
27      g_boot_yellow        n_boot_red           i_boot_purple        i_snowy_tree         b_owl_greenantler    o_glove_black      
28      i_scarf_rainbow      b_hotchoc_pink       g_snowman_hat        o_icicle             n_hat_pink           i_boot_purple      
29      o_ski_rabbit         g_cookie_pink        b_scarf_purple       n_hat_pink           i_glove_blue         g_snowflake_green  
30      b_cookie_star        b_scarf_purple       i_snowy_tree         n_glove_red          i_hat_purple         o_cookie_plate     
31      n_cookie_ginger      b_owl_greenantler    o_cookie_plate       n_snow_angel         g_boot_yellow        o_owl_redhat       
32      o_glove_black        g_boot_yellow        o_owl_redhat         b_hat_blue           i_snowy_tree         g_snowman_hat      
33      o_penguin_hat        o_cookie_plate       n_snow_angel         g_boot_yellow        b_hotchoc_pink       g_owl_purple       
34      b_owl_blue           i_boot_purple        o_ski_rabbit         g_owl_purple         b_owl_blue           n_sled_penguins    
35      i_boot_purple        n_owl_white          b_owl_blue           b_hotchoc_pink       g_hat_green          o_penguin_hat      
36      n_snow_angel         o_glove_black        g_icefish_penguin    o_hat_red            n_boot_red           g_glove_red        
37      n_hat_pink           n_glove_red          g_owl_purple         g_snowflake_green    i_boot_purple        n_owl_white        
38      o_owl_redhat         g_hat_green          i_hotchoc_red        b_owl_greenantler    o_hat_red            b_owl_blue         
39      b_snowboard_penguin  b_cookie_star        o_glove_black        n_sled_penguins      o_icicle             b_cookie_star      
